tender_ref,title,category,closing_date,num_documents,downloaded_paths
,"APPOINTMENT OF A SERVICE PROVIDER TO PROCESS AND COLLECT CLAIMS IN RESPECT OF KZN DEPARTMENT OF HEALTH, INCLUDING INJURY-ON-DUTY SUPPLIER CLAIMS, ROAD ACCIDENT FUND SUPPLIER CLAIMS IN TERMS OF SECTION 17 (5) OF THE ROAD ACCIDENT FUND ACT NO56 OF 1996 (AS AMENDED) AND COLLECTION OF DEPARTMENTAL DEBTS IN ACCORDANCE WITH CHAPTER 5, SEC 38(C) OF THE PFMA NO.01 OF 1999. ON BEHALF OF THE KWAZULU-NATAL DEPARTMENT OF HEALTH FOR A THREE-YEAR PERIOD CONTRACT (36 MONTHS)",Other service activities,in 25 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\BID ADVERT ZNB 5622-2026-H-ROAD ACCIDENT FUND.docx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\BID DOC - ZNB 5622-2026-H - ROAD ACCIDENT FUND (RAF).pdf
,"SUPPLY, DELIVERY, INSTALLATION, COMMISSIONING AND MAINTENANCE OF THEATRE TABLE ORTHOPAEDIC SPINAL ELECTRONICALLY OPERATED (M38B) FOR NGWELEZANE HOSPITAL",Other service activities,in 25 days,2,"C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY, DELIVERY, IN_CONSTRUCTION_SUPPLY\BID DOC-ZNB 9046-2026-H -THEATRE TABLE ORTHOPAEDIC SPINAL ELECTRONICALLY OPERATED (M38B) FOR NGWELEZANE HOSPITAL.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY, DELIVERY, IN_CONSTRUCTION_SUPPLY\BID ADVERT ZNB 9046-2026-H-THEATRE TABLE ORTHOPAEDIC SPINAL ELECTRONICALLY OPERATED (M38B) FOR NGWELEZANE HOSPITAL.docx"
,"APPOINTMENT OF AN INSTITUTION OF HIGHER LEARNING (UNIVERSITY) TO PROVIDE PROFESSIONAL SECRETARIAT, RAPPORTEUR, REPORT-WRITING, POST-SESSION IMPLEMENTATION SUPPORT AND SKILLS TRANSFER SERVICES FOR THE KZN PROVINCIAL HOUSE OF TRADITIONAL AND KHOI-SAN LEADERS (PHTKL) STRATEGIC PLANNING SESSION, 21 – 23 MAY 2026",Services: Professional,in 5 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF AN IN_SUPPLY\DQP 12_2026LG-3.pdf
,Request for information: Actuarial Service Provider to Conduct Independent Quality Assurance Review of Actuarial Methodology and Models,Activities of head offices; management consultancy activities,in 5 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Request for informat_SUPPLY\RFI_ Actuarial Service Provider to Conduct Independent Quality Assurance Review of Actuarial Methodology And Models.pdf
,SUPPLY AND DELIVERY OF LAUNDRY EQUIPMENT FOR NGWELEZANE HOSPITAL – ONCE OFF,Other service activities,in 25 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY AND DELIVERY _SUPPLY\BID DOC- ZNB  5465-2026- LAUNDRY EQUIPMENT FOR NGWELEZANA HOSPITAL.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY AND DELIVERY _SUPPLY\BID ADVERT ZNB 5465-2026-H LAUNDRY EQUIPMENT- NGWELEZANE HOSPITAL.docx
,"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to Maintain, Service and Repair Security Systems at Durban Office on a month-to-month basis for a period not exceeding six (6) months).","Other professional, scientific and technical activities",in 5 days,4,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\Annexure A - Security Measures.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\SBD 6.1 IN TERMS OF PPR 2022.docx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\RFQ Document - Security Systems Maintenance 2026.docx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\New SCM-Bid Documents SBD 4_.doc
,ESTABLISHMENT OF AN APPROVED PREFFERED LIST (DATABASE) OF SERVICE PROVIDERS TO RENDER A CONSOLIDATED LEADERSHIP DEVELOPMENT SERVICE IN THE WESTERN CAPE DEPARTMENT HEALTH AND WELLNESS FOR A FIVE-YEAR PERIOD.,Services: Professional,in 26 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\ESTABLISHMENT OF AN _SUPPLY\WCGHSC 0249.2025 Rendering of Consolidated Leadership Development Service_pagenumber.pdf
,FOR THE PROVISION OF CLEANING SERVICES TO THE WESTERN CAPE DEPARTMENT OF HEALTH AND WELLNESS (WCDHW) FACILITIES IN CAPE WINELANDS DISTRICT (STELLENBOSCH SUB-DISTRICT) A THIRTY (30) MONTH PERIOD.,Services: Functional (Including Cleaning and Security Services),in 26 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\FOR THE PROVISION OF_CONSTRUCTION_CLEANING\PRICING SCHEDULE BSC Annexure B Stellenbosch.xlsx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\FOR THE PROVISION OF_CONSTRUCTION_CLEANING\WCGHSC 0453.1.2026 CWD Stellenbosch Cleaning Service bid doc.pdf
,The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide Office Space for Rental for RAF Tzaneen CEC Office for a period of six (6) months starting from 01 September 2026,Rental and leasing activities,in 4 days,4,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\SBD 6.1 IN TERMS OF PPR2022.docx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\Standard Bidding Document (SDB) 4_Annexure A.doc; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\Annexure A - Security Measures_1778422794.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\The Road Accident Fu_CONSTRUCTION_SUPPLY\RFQ Document PR10115865 for Rental of Office Space Tzaneen.docx
,SUPPLY AND DELIVERY OF SPARE PARTS FOR BERMAD PRESSURE CONTROL VALVES,Supplies: General,in 33 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY AND DELIVERY _SUPPLY\143-2025-2026 TENDER DOCUMENT.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\SUPPLY AND DELIVERY _SUPPLY\143-2025-2026 ADVERT.pdf
,"Suitable service providers are hereby invited to quote for procurement of Design Studio Equipment & Professional setup for professional for Head Office officials at 191Prince Alfred Street, Department of Public Works & Infrastructure, Oliver Tambo house Head Office, Pietermaritzburg 3201",Services: General,in 5 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Suitable service pro_CONSTRUCTION_SUPPLY\ZNQ 17-26-27 advert.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Suitable service pro_CONSTRUCTION_SUPPLY\Znq 17.26.27  Procurement of Design studio equipment and professional setup for professional services.pdf
,[ TERM TENDER (WINNER-TAKES-ALL WITH ALTERNATIVE BIDDER) FOR THE MANAGEMENT AND CONTROL OF ALIEN AND INVASIVE ANIMAL SPECIES IN THE CITY OF CAPE TOWN ],Services: Functional (Including Cleaning and Security Services),in 29 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\[ TERM TENDER (WINNE_CLEANING\TENDER NO 230S_2025_26 Final Draft.pdf
,APPOINTMENT OF A SERVICE PROVIDER FOR LICENSING OF THE ALREADY IMPLEMENTED MIMECAST CLOUD HOSTED EMAIL ARCHIVING SOLUTION.,Other service activities,in 5 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_SUPPLY\RFI - Mimecast Cloud Hosted Email Archival - Final.pdf
,CONTRACT NO. C1217: THE PERIODIC MAINTENANCE OF MR172 BETWEEN STELLENBOSCH AND PNIEL,Services: Civil,in 30 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\CONTRACT NO. C1217_ _CONSTRUCTION\TENDER DOCS.docx
,CERES: BELLA VISTA CLINIC: GENERAL MAINTENANCE (ALPHA),Services: Building,in 30 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\CERES_ BELLA VISTA C_CONSTRUCTION\TENDER DOCS.docx
,Appointment of a panel of two (2) service providers to render learner time and attendance management and learner payroll /stipend / disbursement solution to SASSETA for a period ending on 31st March 2030 with an option to extend up to a maximum of five (5) years;,Services: Professional,in 23 days,4,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Appointment of a pan_SUPPLY\Annexure C- Pricing Schedule (Learner attendance).xlsx; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Appointment of a pan_SUPPLY\GCC-Annexure-A.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Appointment of a pan_SUPPLY\RFP - Learner attendance.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Appointment of a pan_SUPPLY\2. Annexure B - CV Template Learner Attendance.docx
